Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%\
347,Brad Richardson\\richabr02,31,RW,ARI,16,5,4,9,-1,15,3,0,2,0,3,0,1,25,20,246,15:21,7,19,121,109,52.6\
348,Daniel Winnik\\winnida01,31,LW,WSH,26,5,4,9,9,17,4,0,1,1,4,0,0,26,19.2,310,11:54,15,12,4,4,50.0\
349,Anthony Beauvillier\\beauvan01,19,LW,NYI,26,4,5,9,2,6,4,0,0,0,5,0,0,28,14.3,309,11:52,10,28,21,22,48.8\
350,Michael Del Zotto\\delzomi01,26,D,PHI,22,4,5,9,-5,4,4,0,0,0,5,0,0,43,9.3,424,19:18,42,83,0,0,\
351,Tomas Hertl\\hertlto01,23,C,SJS,17,4,5,9,0,10,3,1,0,1,4,1,0,39,10.3,280,16:28,5,26,88,69,56.1\
352,Vinnie Hinostroza\\hinosvi01,22,LW,CHI,31,4,5,9,-2,10,4,0,0,1,5,0,0,50,8,372,11:00,16,20,66,99,40.0\
353,Derek MacKenzie\\mackede01,35,C,FLA,38,4,5,9,2,15,4,0,0,0,3,0,2,44,9.1,460,12:06,21,92,196,185,51.4\
354,Tom Pyatt\\pyattto01,29,LW,OTT,37,4,5,9,0,10,4,0,0,0,4,0,1,47,8.5,579,15:39,49,18,11,17,39.3\
355,Devin Setoguchi\\setogde01,30,RW,LAK,31,4,5,9,-1,6,4,0,0,0,4,1,0,42,9.5,406,13:05,8,43,2,2,50.0\
356,Anthony Deangelo\\deangan01,21,D,ARI,20,3,6,9,-4,14,1,2,0,0,2,4,0,38,7.9,379,18:57,28,11,0,0,\
357,David Desharnais\\deshada01,30,C,MTL,25,3,6,9,4,4,3,0,0,0,4,2,0,23,13,327,13:04,5,1,58,71,45.0\
358,Andy Greene\\greenan01,34,D,NJD,38,3,6,9,-10,2,2,0,1,1,5,1,0,51,5.9,839,22:05,77,33,0,0,\
359,Brandon Manning\\mannibr01,26,D,PHI,34,3,6,9,-5,27,2,0,1,1,6,0,0,42,7.1,615,18:05,32,66,0,0,\
360,Lukas Sedlak\\sedlalu01,23,LW,CBJ,33,3,6,9,8,12,3,0,0,0,6,0,0,29,10.3,309,9:23,13,34,97,105,48.0\
361,Marc-Edouard Vlasic\\vlasima01,29,D,SJS,35,3,6,9,1,31,2,1,0,2,3,3,0,63,4.8,739,21:07,67,11,0,0,\
362,Zdeno Chara\\charazd01,39,D,BOS,34,2,7,9,7,29,2,0,0,0,6,1,0,48,4.2,791,23:16,73,59,0,0,\
363,Calvin de Haan\\dehaaca01,25,D,NYI,36,2,7,9,9,26,2,0,0,0,7,0,0,53,3.8,661,18:22,101,61,0,0,\
364,Zack Kassian\\kassiza01,26,RW,EDM,35,2,7,9,0,68,2,0,0,0,7,0,0,52,3.8,412,11:45,7,78,1,0,100.0\
365,Kyle Quincey\\quincky01,31,D,NJD,36,2,7,9,4,18,2,0,0,0,7,0,0,43,4.7,634,17:36,51,52,0,0,\
366,Nathan Beaulieu\\beaulna01,24,D,MTL,31,1,8,9,15,25,1,0,0,1,5,3,0,48,2.1,591,19:05,49,33,0,0,\
367,Toby Enstrom\\enstrto01,32,D,WPG,36,1,8,9,2,26,0,0,1,0,3,5,0,31,3.2,825,22:55,49,14,0,0,\
368,Luke Glendening\\glendlu01,27,C,DET,37,1,8,9,-7,16,1,0,0,0,7,1,0,46,2.2,525,14:11,41,95,162,131,55.3\
369,Dan Hamhuis\\hamhuda01,34,D,DAL,36,1,8,9,0,8,0,1,0,0,6,0,2,42,2.4,698,19:23,49,43,0,0,\
370,Dmitrij Jaskin\\jaskidm01,23,RW,STL,32,1,8,9,4,12,1,0,0,0,8,0,0,34,2.9,371,11:35,10,58,3,4,42.9\
371,Brett Pesce\\pescebr01,22,D,CAR,36,1,8,9,8,6,1,0,0,0,7,1,0,45,2.2,753,20:55,70,29,0,0,\
372,Nic Petan\\petanni01,21,LW,WPG,18,1,8,9,-2,2,1,0,0,0,3,5,0,23,4.3,256,14:15,5,6,68,81,45.6\
373,Luca Sbisa\\sbisalu01,27,D,VAN,39,1,8,9,4,28,1,0,0,0,8,0,0,32,3.1,715,18:20,60,62,0,0,\
374,Brooks Orpik\\orpikbr01,36,D,WSH,36,0,9,9,10,12,0,0,0,0,9,0,0,39,0,627,17:25,53,83,0,0,\
375,Blake Comeau\\comeabl01,30,LW,COL,33,6,2,8,-6,36,3,2,1,0,2,0,0,49,12.2,523,15:50,11,69,73,78,48.3\
376,Kyle Brodziak\\brodzky01,32,C,STL,37,5,3,8,-3,23,5,0,0,1,3,0,0,35,14.3,376,10:10,22,34,127,143,47.0\
377,Calle Jarnkrok\\jarnkca01,25,C,NSH,36,5,3,8,-3,4,5,0,0,0,3,0,0,42,11.9,500,13:53,8,21,167,193,46.4\
378,Justin Abdelkader\\abdelju01,29,LW,DET,22,4,4,8,-4,13,2,2,0,0,3,0,1,35,11.4,362,16:26,8,52,0,4,0.0\
379,Pavel Buchnevich\\buchnpa01,21,RW,NYR,10,4,4,8,4,4,3,1,0,0,2,2,0,18,22.2,151,15:06,3,3,0,1,0.0\
380,Niklas Hjalmarsson\\hjalmni01,29,D,CHI,39,4,4,8,3,8,4,0,0,0,4,0,0,39,10.3,848,21:44,88,17,0,0,\
381,Melker Karlsson\\karlsme01,26,C,SJS,30,4,4,8,6,6,4,0,0,0,4,0,0,25,16,360,12:01,28,24,0,3,0.0\
382,Denis Malgin\\malgide01,20,C,FLA,34,4,4,8,-2,8,3,1,0,1,4,0,0,47,8.5,398,11:43,10,21,56,96,36.8\
383,Matt Irwin\\irwinma01,29,D,NSH,30,3,5,8,12,8,3,0,0,1,5,0,0,48,6.3,489,16:19,48,71,0,0,\
384,Jussi Jokinen\\jokinju01,33,LW,FLA,28,3,5,8,-7,16,2,1,0,2,4,1,0,55,5.5,507,18:06,13,8,18,16,52.9\
385,Curtis McKenzie\\mckencu01,25,LW,DAL,27,3,5,8,4,40,3,0,0,1,5,0,0,41,7.3,293,10:50,16,49,2,2,50.0\
386,Jake Muzzin\\muzzija01,27,D,LAK,37,3,5,8,-5,24,2,1,0,0,5,0,0,73,4.1,812,21:57,55,75,0,0,\
387,Mathieu Perreault\\perrema01,29,C,WPG,25,3,5,8,-11,16,2,1,0,0,4,1,0,52,5.8,406,16:13,7,40,95,89,51.6\
388,Beau Bennett\\bennebe01,25,RW,NJD,32,2,6,8,-8,12,1,1,0,0,5,1,0,56,3.6,441,13:46,6,38,1,6,14.3\
389,Mikkel Boedker\\boedkmi01,27,LW,SJS,37,2,6,8,-6,8,2,0,0,0,5,1,0,43,4.7,541,14:38,13,33,3,9,25.0\
390,Brandon Carlo\\carlobr01,20,D,BOS,40,2,6,8,3,23,2,0,0,0,6,0,0,48,4.2,879,21:59,62,41,0,0,\
391,Ron Hainsey\\hainsro01,35,D,CAR,36,2,6,8,-7,15,1,0,1,0,6,0,0,37,5.4,798,22:09,54,52,0,0,\
392,Alan Quine\\quineal01,23,C,NYI,26,2,6,8,0,2,1,1,0,1,6,0,0,35,5.7,314,12:05,14,39,104,91,53.3\
393,Patrick Wiercioch\\wiercpa01,26,D,COL,33,2,6,8,-12,17,2,0,0,0,6,0,0,40,5,581,17:36,35,30,1,0,100.0\
394,Jay Bouwmeester\\bouwmja01,33,D,STL,38,1,7,8,-6,18,1,0,0,0,7,0,0,47,2.1,860,22:39,44,36,0,0,\
395,Cody Franson\\fransco01,29,D,BUF,33,1,7,8,2,20,0,1,0,0,7,0,0,48,2.1,589,17:51,31,32,0,0,\
396,Josh Manson\\mansojo01,25,D,ANA,39,1,7,8,2,50,1,0,0,0,6,0,1,40,2.5,745,19:07,37,105,0,0,\
397,Jesse Puljujarvi\\puljuje01,18,RW,EDM,26,1,7,8,5,8,0,1,0,0,7,0,0,41,2.4,302,11:38,10,11,0,1,0.0\
398,David Schlemko\\schleda01,29,D,SJS,30,1,7,8,3,8,0,1,0,0,5,2,0,58,1.7,515,17:10,44,22,0,0,\
399,Fedor Tyutin\\tyutife01,33,D,COL,31,1,7,8,-14,12,1,0,0,0,7,0,0,22,4.5,584,18:51,41,64,0,0,\
400,Chris Wideman\\widemch01,27,D,OTT,32,1,7,8,4,16,1,0,0,1,6,1,0,46,2.2,418,13:03,19,32,0,0,\
401,Francois Beauchemin\\beaucfr01,36,D,COL,37,0,8,8,-1,14,0,0,0,0,6,2,0,50,0,765,20:40,87,32,0,0,\
402,Joel Edmundson\\edmunjo01,23,D,STL,26,0,8,8,-2,30,0,0,0,0,8,0,0,31,0,440,16:55,34,56,0,0,\
403,Matt Hunwick\\hunwima01,31,D,TOR,28,0,8,8,5,8,0,0,0,0,8,0,0,28,0,500,17:52,45,44,0,0,\
404,Andreas Athanasiou\\athanan01,22,C,DET,23,5,2,7,-4,9,5,0,0,0,2,0,0,40,12.5,278,12:04,6,9,26,29,47.3\
405,Matt Calvert\\calvema01,27,LW,CBJ,30,5,2,7,6,35,3,0,2,1,2,0,0,43,11.6,424,14:08,20,29,2,11,15.4\
406,Kevin Fiala\\fialake01,20,LW,NSH,26,5,2,7,-1,8,5,0,0,1,2,0,0,61,8.2,339,13:03,7,27,0,0,\
407,Benoit Pouliot\\poulibe01,30,LW,EDM,33,5,2,7,-2,24,5,0,0,1,2,0,0,42,11.9,480,14:34,20,17,4,9,30.8\
408,Andrew Copp\\coppan01,22,C,WPG,26,4,3,7,0,6,3,0,1,1,3,0,0,32,12.5,317,12:10,13,34,44,50,46.8\
409,Brian Flynn\\flynnbr01,28,C,MTL,26,4,3,7,8,4,4,0,0,0,3,0,0,29,13.8,318,12:13,15,10,55,49,52.9\
410,Darren Helm\\helmda01,30,C,DET,17,4,3,7,6,8,2,2,0,1,2,0,1,28,14.3,259,15:14,6,21,106,83,56.1\
411,Nick Lappin\\lappini01,24,RW,NJD,30,4,3,7,-6,17,4,0,0,0,3,0,0,42,9.5,365,12:10,5,28,2,4,33.3\
412,Tyler Motte\\mottety01,21,LW,CHI,33,4,3,7,2,14,4,0,0,0,3,0,0,46,8.7,376,11:23,24,27,4,6,40.0\
413,Scottie Upshall\\upshasc01,33,RW,STL,35,4,3,7,-7,19,4,0,0,1,3,0,0,35,11.4,360,10:18,7,35,1,3,25.0\
414,Anthony Duclair\\duclaan01,21,LW,ARI,34,3,4,7,-4,14,3,0,0,0,4,0,0,45,6.7,465,13:41,11,14,4,1,80.0\
415,Dan Girardi\\girarda01,32,D,NYR,35,3,4,7,5,8,3,0,0,3,3,0,1,34,8.8,657,18:47,96,62,0,0,\
416,Joakim Nordstrom\\nordsjo02,24,LW,CAR,36,3,4,7,-3,8,2,0,1,1,4,0,0,48,6.3,478,13:16,24,46,3,10,23.1\
417,Cedric Paquette\\paquece01,23,C,TBL,31,3,4,7,-2,37,3,0,0,0,4,0,0,33,9.1,339,10:57,22,78,96,114,45.7\
418,Nick Shore\\shoreni01,24,C,LAK,36,3,4,7,0,14,3,0,0,1,4,0,0,39,7.7,442,12:16,13,30,151,180,45.6\
419,Ondrej Kase\\kaseon01,21,RW,ANA,23,2,5,7,-5,12,2,0,0,1,5,0,0,35,5.7,281,12:14,9,18,1,3,25.0\
420,Chris Kelly\\kellych01,36,C,OTT,37,2,5,7,-4,10,2,0,0,1,5,0,0,38,5.3,483,13:03,24,35,131,168,43.8\
421,Pavel Zacha\\zachapa01,19,C,NJD,31,2,5,7,-11,10,1,1,0,0,3,2,0,31,6.5,438,14:09,16,28,102,132,43.6\
422,Jakob Chychrun\\chychja01,18,D,ARI,29,1,6,7,-2,35,1,0,0,0,6,0,0,31,3.2,479,16:32,49,44,0,0,\
423,Deryk Engelland\\engelde01,34,D,CGY,39,1,6,7,8,50,1,0,0,1,6,0,0,50,2,713,18:18,62,71,1,0,100.0\
424,Jonathan Ericsson\\ericsjo01,32,D,DET,34,1,6,7,-1,51,1,0,0,0,6,0,0,34,2.9,640,18:49,23,59,0,0,\
425,Mark Pysyk\\pysykma01,25,D,FLA,38,1,6,7,0,6,1,0,0,0,6,0,0,41,2.4,706,18:35,47,27,0,1,0.0\
426,Austin Watson\\watsoau01,25,LW,NSH,32,1,6,7,7,28,1,0,0,0,5,0,1,34,2.9,373,11:39,19,57,0,3,0.0\
427,Brian Dumoulin\\dumoubr01,25,D,PIT,35,0,7,7,-8,10,0,0,0,0,5,2,0,45,0,692,19:45,45,61,0,0,\
428,Jake McCabe\\mccabja01,23,D,BUF,36,0,7,7,0,18,0,0,0,0,6,1,0,37,0,772,21:27,49,43,0,0,\
429,Connor Murphy\\murphco02,23,D,ARI,33,0,7,7,-12,27,0,0,0,0,7,0,0,32,0,674,20:25,47,75,0,0,\
430,Paul Postma\\postmpa01,27,D,WPG,33,0,7,7,-1,4,0,0,0,0,7,0,0,25,0,390,11:49,22,16,0,0,\
431,Matt Puempel\\puempma01,24,LW,TOT,26,5,1,6,-8,9,2,3,0,1,1,0,0,29,17.2,241,9:17,6,21,0,1,0.0\
432,Adam Cracknell\\crackad01,31,RW,DAL,35,4,2,6,6,2,4,0,0,2,2,0,0,48,8.3,361,10:18,19,43,45,41,52.3\
433,Eric Fehr\\fehrer01,31,C,PIT,33,4,2,6,-3,6,4,0,0,2,2,0,0,37,10.8,369,11:11,24,44,32,30,51.6\
434,Jack Skille\\skillja01,29,RW,VAN,32,4,2,6,-1,6,4,0,0,0,2,0,0,39,10.3,276,8:38,9,46,0,0,\
435,Tommy Wingels\\wingeto01,28,C,SJS,29,4,2,6,0,13,4,0,0,2,2,0,0,34,11.8,282,9:43,14,51,53,69,43.4\
436,Karl Alzner\\alzneka01,28,D,WSH,36,3,3,6,8,12,3,0,0,0,3,0,0,39,7.7,731,20:18,64,46,0,0,\
437,Lars Eller\\ellerla01,27,C,WSH,35,3,3,6,-2,24,3,0,0,0,3,0,0,47,6.4,491,14:02,10,27,174,200,46.5\
438,Zemgus Girgensons\\girgeze01,23,C,BUF,36,3,3,6,-6,4,3,0,0,0,3,0,0,57,5.3,432,11:59,11,49,107,102,51.2\
439,Stephen Johns\\johnsst03,24,D,DAL,27,3,3,6,-1,17,3,0,0,1,3,0,0,33,9.1,495,18:20,47,74,0,0,\
440,Esa Lindell\\lindees01,22,D,DAL,29,3,3,6,4,8,3,0,0,2,2,1,0,37,8.1,589,20:18,47,41,0,1,0.0\
441,Dennis Rasmussen\\rasmude01,26,C,CHI,37,3,3,6,-3,8,3,0,0,0,3,0,0,41,7.3,461,12:28,30,32,78,94,45.3\
442,Marc Staal\\staalma01,30,D,NYR,39,3,3,6,11,22,3,0,0,0,2,0,1,44,6.8,763,19:34,54,40,0,0,\
443,Nail Yakupov\\yakupna01,23,RW,STL,21,3,3,6,-2,10,3,0,0,0,3,0,0,17,17.6,216,10:17,3,16,0,0,\
444,Justin Braun\\braunju01,29,D,SJS,37,2,4,6,-5,10,2,0,0,0,4,0,0,37,5.4,746,20:10,62,57,0,0,\
445,Drake Caggiula\\caggidr01,22,LW,EDM,20,2,4,6,-2,2,1,1,0,0,3,1,0,25,8,262,13:06,4,39,29,43,40.3\
446,Kyle Clifford\\cliffky01,26,LW,LAK,30,2,4,6,1,45,2,0,0,0,4,0,0,52,3.8,319,10:39,2,63,0,1,0.0\
447,Joseph Cramarossa\\cramajo01,24,LW,ANA,27,2,4,6,-3,35,2,0,0,0,3,0,1,16,12.5,272,10:05,14,64,2,0,100.0\
448,Danny DeKeyser\\dekeyda01,26,D,DET,37,2,4,6,-9,17,2,0,0,1,4,0,0,37,5.4,828,22:22,74,45,0,0,\
449,Adam Larsson\\larssad01,24,D,EDM,38,2,4,6,-3,26,2,0,0,0,4,0,0,38,5.3,764,20:07,69,116,0,0,\
450,Nikita Nesterov\\nesteni01,23,D,TBL,26,2,4,6,3,18,1,1,0,0,4,0,0,33,6.1,414,15:55,14,37,0,0,\
451,Ryan Reaves\\reavery01,30,RW,STL,36,2,4,6,2,24,2,0,0,1,4,0,0,25,8,277,7:41,6,84,0,0,\
452,Devante Smith-Pelly\\smithde06,24,RW,NJD,32,2,4,6,-9,8,2,0,0,0,2,2,0,52,3.8,429,13:25,9,59,16,18,47.1\
453,Drew Stafford\\staffdr01,31,RW,WPG,24,2,4,6,1,8,2,0,0,1,3,1,0,38,5.3,333,13:54,1,26,2,7,22.2\
454,Daniel Carr\\carrda01,25,LW,MTL,23,1,5,6,6,6,1,0,0,1,5,0,0,33,3,234,10:09,8,16,1,1,50.0\
455,Jason Garrison\\garrija01,32,D,TBL,36,1,5,6,-5,8,1,0,0,0,5,0,0,43,2.3,661,18:21,55,40,0,0,\
456,Erik Gudbranson\\gudbrer01,25,D,VAN,30,1,5,6,-14,18,1,0,0,1,5,0,0,40,2.5,610,20:20,44,66,0,0,\
457,Riley Nash\\nashri02,27,C,BOS,40,1,5,6,-4,6,1,0,0,0,4,0,1,56,1.8,558,13:57,13,27,174,158,52.4\
458,Markus Nutivaara\\nutivma01,22,D,CBJ,35,1,5,6,8,4,1,0,0,0,5,0,0,33,3,454,12:58,23,22,0,0,\
459,Johnny Oduya\\oduyajo01,35,D,DAL,28,1,5,6,2,8,1,0,0,0,5,0,0,20,5,521,18:37,59,15,0,0,\
460,Ryan Sproul\\sproury01,24,D,DET,18,1,5,6,-5,4,0,1,0,0,3,2,0,35,2.9,287,15:57,8,8,0,0,\
461,Andrej Sustr\\sustran01,26,D,TBL,38,1,5,6,-8,29,1,0,0,1,5,0,0,53,1.9,682,17:57,48,22,0,0,\
462,Shea Theodore\\theodsh01,21,D,ANA,21,1,5,6,-10,16,0,1,0,0,4,0,1,35,2.9,364,17:20,17,7,0,0,\
463,Matthew Benning\\bennima01,22,D,EDM,26,0,6,6,4,6,0,0,0,0,4,2,0,34,0,438,16:51,30,54,0,0,\
464,Ben Chiarot\\chiarbe01,25,D,WPG,38,0,6,6,-4,12,0,0,0,0,6,0,0,26,0,551,14:30,59,49,0,0,\
465,Nate Schmidt\\schmina01,25,D,WSH,30,0,6,6,4,10,0,0,0,0,6,0,0,31,0,456,15:11,14,28,0,0,\
466,Riley Sheahan\\sheahri01,25,C,DET,36,0,6,6,-14,12,0,0,0,0,5,1,0,56,0,511,14:11,18,38,103,82,55.7\
467,Michael Stone\\stonemi01,26,D,ARI,25,0,6,6,-8,4,0,0,0,0,3,3,0,29,0,496,19:50,52,54,1,0,100.0\
468,Nikita Zadorov\\zadorni01,21,D,COL,36,0,6,6,-14,43,0,0,0,0,5,1,0,28,0,650,18:04,46,91,0,0,\
469,Brett Connolly\\connobr01,24,RW,WSH,22,4,1,5,1,16,3,1,0,0,1,0,0,32,12.5,236,10:44,3,40,3,4,42.9\
470,Shawn Matthias\\matthsh01,28,C,WPG,14,4,1,5,2,4,3,0,1,1,1,0,0,21,19,174,12:27,8,14,2,4,33.3\
471,Jamie Oleksiak\\oleksja01,24,D,DAL,17,4,1,5,2,18,4,0,0,1,0,0,1,17,23.5,269,15:50,22,25,0,0,\
472,Miles Wood\\woodmi01,21,LW,NJD,19,4,1,5,-4,20,4,0,0,0,1,0,0,29,13.8,229,12:04,5,25,1,0,100.0\
473,Darnell Nurse\\nurseda01,21,D,EDM,25,3,2,5,-3,17,3,0,0,0,2,0,0,43,7,442,17:40,25,60,0,0,\
474,Matt Beleskey\\belesma01,28,LW,BOS,24,2,3,5,-6,23,2,0,0,0,1,2,0,44,4.5,362,15:05,12,62,26,39,40.0\
475,Joel Eriksson Ek\\eriksjo02,20,LW,MIN,9,2,3,5,2,2,2,0,0,1,3,0,0,7,28.6,91,10:07,5,14,21,35,37.5\
476,Michal Kempny\\kempnmi01,26,D,CHI,26,2,3,5,-1,14,2,0,0,0,3,0,0,30,6.7,400,15:22,29,50,0,0,\
477,Tom Kuhnhackl\\kuhnhto01,25,RW,PIT,23,2,3,5,5,6,2,0,0,0,3,0,0,17,11.8,225,9:48,15,36,0,1,0.0\
478,Colin Miller\\milleco02,24,D,BOS,31,2,3,5,-3,23,1,1,0,0,3,0,0,52,3.8,510,16:28,19,31,0,0,\
479,Tyler Myers\\myersty01,26,D,WPG,11,2,3,5,5,13,2,0,0,0,2,0,1,16,12.5,244,22:12,21,12,0,0,\
480,Jordan Nolan\\nolanjo01,27,C,LAK,27,2,3,5,-2,40,2,0,0,0,3,0,0,21,9.5,284,10:30,2,37,2,2,50.0\
481,Brendan Smith\\smithbr05,27,D,DET,23,2,3,5,0,24,1,1,0,1,1,2,0,32,6.3,420,18:16,22,31,0,0,\
482,Ryan White\\whitery01,28,C,ARI,30,2,3,5,-7,60,2,0,0,1,3,0,0,22,9.1,317,10:34,18,98,35,46,43.2\
483,Braydon Coburn\\coburbr01,31,D,TBL,38,1,4,5,0,24,1,0,0,0,4,0,0,47,2.1,613,16:08,29,48,0,0,\
484,Alexander Edler\\edleral01,30,D,VAN,25,1,4,5,-7,6,0,1,0,0,3,1,0,50,2,587,23:30,59,47,2,1,66.7\
485,Tom Gilbert\\gilbeto01,34,D,LAK,17,1,4,5,-3,6,1,0,0,0,3,1,0,12,8.3,265,15:36,27,10,0,0,\
486,Jyrki Jokipakka\\jokipjy01,25,D,CGY,27,1,4,5,-3,8,1,0,0,0,4,0,0,16,6.3,400,14:48,23,16,0,0,\
487,Hampus Lindholm\\lindhha01,23,D,ANA,26,1,4,5,6,18,1,0,0,1,2,2,0,35,2.9,580,22:18,33,40,0,0,\
488,Martin Marincin\\marinma01,24,D,TOR,16,1,4,5,-1,4,1,0,0,0,4,0,0,14,7.1,289,18:03,17,17,0,0,\
489,Josh Morrissey\\morrijo04,21,D,WPG,39,1,4,5,1,20,1,0,0,1,4,0,0,35,2.9,728,18:39,52,65,0,0,\
490,Andrej Nestrasil\\nestran01,25,C,CAR,17,1,4,5,-3,2,1,0,0,0,4,0,0,25,4,189,11:07,6,10,3,3,50.0\
491,Xavier Ouellet\\ouellxa01,23,D,DET,22,1,4,5,4,32,1,0,0,0,4,0,0,28,3.6,394,17:54,30,23,0,1,0.0\
492,Greg Pateryn\\patergr01,26,D,MTL,19,1,4,5,1,2,1,0,0,0,4,0,0,19,5.3,266,13:59,37,30,0,0,\
493,Alex Petrovic\\petroal01,24,D,FLA,16,1,4,5,8,6,1,0,0,0,4,0,0,14,7.1,287,17:56,16,31,0,0,\
494,Seth Griffith\\griffse01,24,C,TOT,22,0,5,5,6,6,0,0,0,0,4,1,0,21,0,288,13:04,5,29,2,4,33.3\
495,John-Michael Liles\\lilesjo01,36,D,BOS,22,0,5,5,-2,4,0,0,0,0,2,3,0,19,0,358,16:15,28,14,1,0,100.0\
496,Alexey Marchenko\\marchal01,25,D,DET,22,0,5,5,-1,12,0,0,0,0,4,0,1,19,0,388,17:39,30,2,0,0,\
497,Kris Russell\\russekr01,29,D,EDM,31,0,5,5,2,10,0,0,0,0,5,0,0,36,0,666,21:29,89,35,0,0,\
498,Drew Miller\\milledr01,32,LW,DET,26,4,0,4,-8,14,4,0,0,1,0,0,0,19,21.1,259,9:57,19,40,1,0,100.0\
499,Joe Colborne\\colbojo01,27,C,COL,29,3,1,4,-13,14,1,2,0,0,1,0,0,27,11.1,340,11:44,7,39,36,56,39.1\
500,Jake Guentzel\\guentja01,22,C,PIT,5,3,1,4,1,2,3,0,0,0,1,0,0,8,37.5,68,13:37,2,12,2,2,50.0\
501,Roman Lyubimov\\lyubiro01,25,LW,PHI,28,3,1,4,-1,6,3,0,0,0,1,0,0,29,10.3,289,10:20,10,22,0,5,0.0\
502,Brendan Perlini\\perlibr01,20,LW,ARI,12,3,1,4,-2,4,3,0,0,0,1,0,0,18,16.7,164,13:39,2,12,1,0,100.0\
503,Yohann Auvitu\\auvityo01,27,D,NJD,24,2,2,4,1,2,2,0,0,0,1,1,0,54,3.7,389,16:14,9,20,0,0,\
504,Lance Bouma\\boumala01,26,C,CGY,21,2,2,4,-1,15,2,0,0,1,2,0,0,16,12.5,242,11:31,15,55,1,4,20.0\
505,J.T. Brown\\brownjt01,26,RW,TBL,32,2,2,4,-6,43,1,0,1,1,2,0,0,37,5.4,351,10:58,14,49,8,20,28.6\
506,Ryan Callahan\\callary01,31,RW,TBL,15,2,2,4,2,21,2,0,0,1,2,0,0,20,10,217,14:29,11,39,5,4,55.6\
507,Lawson Crouse\\crousla01,19,LW,ARI,33,2,2,4,-10,32,2,0,0,1,2,0,0,35,5.7,378,11:27,13,79,0,1,0.0\
508,Sergey Kalinin\\kalinse01,25,C,NJD,30,2,2,4,-8,13,2,0,0,0,2,0,0,32,6.3,387,12:55,14,42,35,54,39.3\
509,Matt Martin\\martima02,27,LW,TOR,36,2,2,4,1,70,2,0,0,0,2,0,0,29,6.9,319,8:51,11,140,0,6,0.0\
510,Jay McClement\\mccleja01,33,C,CAR,36,2,2,4,-8,10,2,0,0,1,2,0,0,23,8.7,416,11:33,27,31,155,160,49.2\
511,Steve Ott\\ottst01,34,C,DET,33,2,2,4,-4,54,2,0,0,0,2,0,0,27,7.4,340,10:18,12,71,84,58,59.2\
512,Roman Polak\\polakro01,30,D,TOR,31,2,2,4,-1,28,2,0,0,0,2,0,0,24,8.3,536,17:18,46,101,0,1,0.0\
513,Marco Scandella\\scandma01,26,D,MIN,25,2,2,4,-2,12,2,0,0,0,2,0,0,37,5.4,423,16:55,32,19,0,0,\
514,Jordan Schroeder\\schrojo01,26,C,MIN,7,2,2,4,1,0,2,0,0,0,2,0,0,12,16.7,62,8:55,4,7,0,0,\
515,Anton Slepyshev\\slepyan01,22,LW,EDM,15,2,2,4,4,2,2,0,0,0,2,0,0,22,9.1,168,11:12,3,21,0,0,\
516,Brandon Tanev\\tanevbr01,25,LW,WPG,35,2,2,4,-5,24,2,0,0,1,2,0,0,43,4.7,420,11:59,27,89,1,0,100.0\
517,Chris Terry\\terrych01,27,LW,MTL,12,2,2,4,2,4,2,0,0,0,2,0,0,14,14.3,119,9:54,1,9,1,1,50.0\
518,Frank Vatrano\\vatrafr01,22,C,BOS,6,2,2,4,2,2,2,0,0,0,1,1,0,13,15.4,86,14:24,2,7,0,0,\
519,Dale Weise\\weiseda01,28,RW,PHI,34,2,2,4,-1,15,1,1,0,1,2,0,0,40,5,427,12:33,7,65,1,0,100.0\
520,Tom Wilson\\wilsoto01,22,RW,WSH,36,2,2,4,6,34,2,0,0,0,2,0,0,34,5.9,457,12:42,15,85,0,4,0.0\
521,Joel Armia\\armiajo01,23,RW,WPG,14,1,3,4,-1,4,1,0,0,0,3,0,0,25,4,201,14:23,5,12,2,3,40.0\
522,Pierre-Edouard Bellemare\\bellepi01,31,LW,PHI,39,1,3,4,0,2,1,0,0,0,2,0,1,58,1.7,566,14:30,36,42,253,250,50.3\
523,Connor Carrick\\carrico01,22,D,TOR,32,1,3,4,4,30,1,0,0,0,3,0,0,47,2.1,544,16:00,45,34,0,0,\
524,Kyle Connor\\connoky01,20,LW,WPG,19,1,3,4,-8,4,1,0,0,1,1,2,0,21,4.8,234,12:19,8,1,1,1,50.0\
525,Derek Dorsett\\dorsede01,30,RW,VAN,14,1,3,4,-6,33,1,0,0,0,3,0,0,24,4.2,139,9:56,6,35,1,0,100.0\
526,Alexei Emelin\\emelial01,30,D,MTL,35,1,3,4,5,39,1,0,0,0,3,0,0,39,2.6,758,21:39,64,125,0,0,\
527,Gustav Forsling\\forslgu02,20,D,CHI,31,1,3,4,3,2,1,0,0,0,2,1,0,38,2.6,464,14:59,15,14,0,0,\
528,Marian Gaborik\\gaborma01,34,RW,LAK,15,1,3,4,0,2,0,1,0,0,2,1,0,32,3.1,221,14:43,2,10,0,1,0.0\
529,Garnet Hathaway\\hathaga01,25,RW,CGY,19,1,3,4,1,37,1,0,0,0,3,0,0,15,6.7,174,9:09,13,40,10,8,55.6\
